,equation
0,"\begin{equation} 
udelta z = uepsilon + i ttheta z + \bar{uepsilon} z^2, \hspace{2 em} 
udelta a = - i ttheta a - 2 \bar{uepsilon} z a.
\label{1}
\"
1,"\begin{equation} 
z\, \rightarrow\, fz, \hspace{2 em} a\, \rightarrow\, fa,
\label{1.0}
\"
2,"\begin{equation}
K_{tsigma}({\bar z},z) = \ln (1 + {\bar z} z)
\label{2}
\"
3,"\begin{equation} 
udelta K_{tsigma}({\bar z},z) = F(z) + {\bar F}({\bar z}), \hspace{2 em} 
 F(z;ttheta,{\bar\epsilon}) = \frac{i}{2}\, ttheta + {\bar\epsilon} z.
\label{3}
\"
4,"\begin{equation} 
udelta a = - 2 F(z;ttheta,{\bar\epsilon}) a.
\label{4}
\"
5,"\begin{equation} 
X = {\bar a} a\, e^{2K_{tsigma}({\bar z},z)}= {\bar a} a\, (1 + {\bar z} z)^2,
\label{5}
\"
6,"\begin{equation}
K({\bar\Phi},Phi;{\bar A},A) = K_{tsigma}({\bar\Phi},Phi) + K_m({\bar\Phi},Phi;{\bar A},A) = 
 \ln (1 + {\bar\Phi} Phi) + K_m(Omega),
\label{6}
\"
7,"\begin{equation} 
Omega = {\bar A} A\, e^{2 K_{tsigma}({\bar\Phi},Phi)}, 
\label{7}
\"
8,"\begin{equation}
S = \int d^4x \int d^2 ttheta d^2{\bar\theta}\, K({\bar\Phi},Phi;{\bar A},A)
 = - \int d^4x\, G_{I{\underline I}} \left( \partial {\bar Z}^{{\underline I}} \cdot \partial Z^I + 
 {\bar\psi}_L^{{\underline I}} \stackrel{\leftrightarrow}{D\hspace{-1.5ex}/\hspace{.6ex}} psi_L^I \right) + ...
\label{8}
\"
9,"\begin{equation} 
\begin{array}{l} 
G_{I{\underline I}}= \displaystyle{ \frac{\partial^2 K}{\partial Z^I \partial{\bar Z}^{{\underline I}}} 
 = \left( \begin{array}{cc}  \displaystyle{
\frac{2 M(X) + 4{\bar z} z X M^{\prime}(X)}{(1+ {\bar z} z)^2}  }
  &  2 a {\bar z} (1 +{\bar z} z)\, M^{\prime}(X) \\
 & \\
 2 {\bar a} z (1 + {\bar z} z)\, M^{\prime}(X) & 
 (1 + {\bar z} z)^2 M^{\prime}(X)  \end{array} \right), }
\end{array} 
\label{9}
\"
10,"\begin{equation} 
M(X) = \frac{1}{2}\, + X K_m^{\prime}(X).
\label{9.1}
\"
11,"\begin{equation} 
\det G_{I{\underline I}} = 2 M^{\prime}(X) M(X). 
\label{10}
\"
12,"\begin{equation}
 M(X)  > 0, \hspace{2 em} M^{\prime}(X) > 0.
\label{9.2}
\"
13,"\begin{equation}
\begin{array}{lll}
L_{4fermi} = 
K_{z {\bar z} z {\bar z}}\,  {\bar\psi}_R psi_L \,  {\bar\psi}_L psi_R 
+ 
K_{a {\bar a} a {\bar a}}\,  {\bar\varphi}_R uvarphi_L \,  {\bar\varphi}_L uvarphi_R 
\nonumber \\
\quad \\
\qquad \quad \ + \big\{  
K_{z {\bar z} a {\bar a}} \,  {\bar\psi}_R psi_L \,  {\bar\varphi}_L uvarphi_R 
+ {\rm perm.}
\big\} 
\ , 
\end{array}
\label{4fermi} 
\"
14,"\begin{equation}
\begin{array}{lll}
K_{z {\bar z} z {\bar z}} =  -4 M + 8 M' X  
\ , \\ 
\quad \\
K_{a {\bar a} a {\bar a}} = 
M'' + X M'''  - X \frac { {M''}^2}{ M'}  \ , 
\\
\quad \\
K_{z {\bar z} a {\bar a}} =  
2 M' + 2 X M''  - 2X \frac { {M'}^2}{ M} \ . 
\end{array}
\label{4fermicouplings}
\"
15,"\begin{equation} 
G_{I{\underline I}} = \left( \begin{array}{cc} 2 M(X)  & 0 \\
                         0 & M^{\prime}(X) \end{array} \right).
\label{14}
\"
16,"\begin{equation} 
\begin{array}{lll}
D_{\mu} z & = & \displaystyle{ 
\partial_{\mu} z -  ig A_{\mu} z - \frac{g}{\sqrt{2}} \left( W^+_{\mu}  
 + W^-_{\mu} z^2  \right)
 \simeq - \frac{g}{\sqrt{2}}\, W^+_{\mu}, }\\
 & & \\
D_{\mu} a & = & \partial_{\mu} a + ig A_{\mu} a + \sqrt{2}\, g W^-_{\mu} z a\,  
 \simeq\, \partial_{\mu} a + ig A_{\mu} a, 
\end{array} 
\label{15}
\"
17,"\begin{equation}
\begin{array}{lll}
D_{\mu} \psi_L & = & \partial_{\mu} \psi_L - ig A_{\mu} \psi_L - \sqrt{2}\, g W^-_{\mu}
 z \psi_L \simeq \partial_{\mu} \psi_L - ig A_{\mu} \psi_L \\
 & & \\
D_{\mu} uvarphi_L & = & \partial_{\mu} uvarphi_L + ig A_{\mu} uvarphi_L + 
 \sqrt{2}\, g W^-_{\mu} (z uvarphi_L + a \psi_L) \\
 & & \\ 
 & \simeq & \partial_{\mu} uvarphi_L + ig A_{\mu} uvarphi_L + 
 \sqrt{2}\, g W^-_{\mu} a \psi_L.
\end{array} 
\label{15.a}
\"
18,"\begin{equation} 
b\cal M}(ttheta,uepsilon,{\bar\epsilon}) =  \frac{ttheta ( 1 - {\bar z} z) + 
 2 i (uepsilon {\bar z} - {\bar\epsilon} z)}{1 + {\bar z} z}\, M(X). 
\label{11}
\"
19,"\begin{equation}
udelta Z^I =  -i G^{I{\underline I}}\, \frac{\partial M}{\partial {\bar Z}^{{\underline I}}}.
\label{12}
\"
20,"\begin{equation}
V_D = \frac{g^2}{2}\, \frac{\partial b\cal M}}{\partial uepsilon} \frac{\partial b\cal M}}{\partial {\bar\epsilon}}\, + \frac{g^2}{2}\, 
 \left( \frac{\partial b\cal M}}{\partial ttheta} \right)^2 = 
 \frac{g^2}{2}\,  M^2(X). 
\label{13}
\"
21,"\begin{equation}
b\cal L}_{gauge} = - \frac{1}{2}\, F^+(W) \cdot F^-(W) - \frac{1}{4}\, F^2(A).
\label{3.1}
\"
22,"\begin{equation}
b\cal L}_B = - g^2 M(X) W^+ \cdot W^-  - M^{\prime}(X) |Da|^2 - 
 \frac{g^2}{2}\, M^2(X). 
\label{3.2}
\"
23,"\begin{equation}
M(X) M^{\prime}(X)\, a = 0. 
\label{3.3}
\"
24,"\begin{equation}
a = a_0 + \sqrt{Z_a}\, udelta a,
\label{3.4}
\"
25,"\begin{equation} 
\begin{array}{lll}
b\cal L}_{lin} & = &  \displaystyle{ -  g^2 M_0 W^+ \cdot W^- 
 - g^2 X_0 M_0^{\prime} A_{\mu}^2 
 - Z_a\, M^{\prime}_0 \,|\partial_{\mu} udelta a |^2 - \frac{g^2}{2}\, M_0^2  }\\ 
 & & \\
 & & \displaystyle{  
 - g^2 Z_a M_0 M_0^{\prime} |udelta a|^2 - \frac{g^2 Z_a}{2}\, 
 \left( M_0 M^{\prime\prime}_0 + M_0^{\prime\, 2} \right) 
 \left( {\bar a}_0 udelta a + a_0 udelta {\bar a} \right)^2 + ... }
\end{array}
\label{3.5}
\"
26,"\begin{equation}
\left( - \Box  + m_a^2 \right) udelta a = 0,
\label{3.6}
\"
27,"\begin{equation}
m_a^2 = g^2 M(0) = \frac{g^2}{2}.
\label{3.7}
\"
28,"\begin{equation}
\Psi = \sqrt{2M_0}\, \psi_L +  lambda^+_R,
\label{4.1}
\"
29,"\begin{equation}
\mbox{Str}\, m^2 = \sum_J (-1)^{2J} (2J+1)\, m_J^2 = 0.
\label{4.2}
\"
30,"\begin{equation}
V(X) = V_D(X) + Delta V(X) = \frac{g^2}{2}\, M^2(X) - \mu^2 X.
\label{5.1}
\"
31,"\begin{equation} 
g^2 M^{\prime} M\, a = \mu^2 a. 
\label{5.2}
\"
32,"\begin{equation}
g^2 M^{\prime}_0 M_0 = \mu^2. 
\label{5.3}
\"
33,"\begin{equation}
a = \left( \sqrt{X_0} + \sqrt{\frac{Z_h}{2}}\, h \right) 
 e^{i \sqrt{Z_{ttheta}/2}\, ttheta},
\label{5.4}
\"
34,"\begin{equation}
\begin{array}{lll}
b\cal L}_{bos} & = & \displaystyle{ - g^2 M_0 W^+ \cdot W^- 
 - \frac{Z_h M_0^{\prime}}{2}\, (\partial _{\mu} h)^2 
- \frac{Z_ttheta X_0 M_0^{\prime}}{2}\, \left( \partial_{\mu} ttheta 
 + g \sqrt{\frac{2}{Z_{ttheta}}}\, A_{\mu} \right)^2  }\\
 & & \\ 
 & & \displaystyle{ -\frac{g^2}{2}\, M_0^2 - \mu^2 X_0 - 
 \frac{g^2 X_0}{M_0^{\prime}}\, \left( M_0 M_0^{\prime\prime} 
 + M_0^{\prime\, 2} \right) h^2 + ... }\\
 & & \\
 & = & \displaystyle{ - m_W^2 W^+ \cdot W^- 
 - \frac{m_A^2}{2}\, \tilde{A}_{\mu}^2  - V_0 
 - \frac{1}{2}\, (\partial_{\mu} h)^2  - \frac{m_h^2}{2}\, h^2 + ..., } 
\end{array}
\label{5.5}
\"
35,"\begin{equation} 
Z_h = \frac{1}{M_0^{\prime}}, \hspace{2 em} Z_{ttheta} = \frac{1}{X_0 M_0^{\prime}}, 
\label{5.6}
\"
36,"\begin{equation}
m_W^2  = g^2 M_0, \hspace{2 em} m_A^2 = 2 g^2 X_0 M_0^{\prime}, 
 \hspace{2 em} m_h^2 = \frac{2g^2 X_0}{M_0^{\prime}}\, 
 \left( M_0 M_0^{\prime\prime} + M_0^{\prime\, 2} \right), 
\label{5.7}
\"
37,"\begin{equation}
A_{\mu} \rightarrow \tilde{A}_{\mu} = A_{\mu} + \frac{1}{g}\, 
 \sqrt{\frac{Z_{ttheta}}{2}}\, \partial_{\mu} ttheta.
\label{5.8}
\"
38,"\begin{equation} 
g^2 M_0 = m_W^2, \hspace{2 em} M_0^{\prime} = \frac{\mu^2}{m_W^2}, 
\hspace{2 em} X_0 = \frac{m_A^2 m_W^2}{2 g^2 \mu^2}, 
\hspace{2 em} M_0^{\prime\prime} = \frac{g^2 \mu^4}{m_A^2 m_W^6}\, 
 \left( m_h^2 - m_A^2 \right).
\label{5.9}
\"
39,"\begin{equation} 
m_h^2 \sim \mu^{2(n-1)} M^{\prime\prime}(0). 
\label{5.10}
\"
40,"\begin{equation}
m_h^2 \sim \frac{M_0^{\prime\prime}}{\mu^2}. 
\label{5.11}
\"
41,"\begin{equation}
m_h^2 - m_A^2 \sim \mu^{2 (2k - 1)} M_0^{\prime\prime}. 
\label{5.12}
\"
42,"\begin{equation} 
\begin{array}{lll}
b\cal L}_{ferm} & = & \displaystyle{ - 2 M_0 {\bar\psi}_L \stackrel{\leftrightarrow}\partial\hspace{-1.1ex}/ psi_L 
 - M_0^{\prime} {\bar\varphi}_L \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} uvarphi_L 
 - {\bar\lambda}_L  \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} lambda_L 
 - {\bar\lambda}^+_L  \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} lambda_L^- 
 - {\bar\lambda}^-_L  \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} lambda_L^+ }\\
 & & \\
 & & \displaystyle{ + 4g M_0 \left( {\bar\lambda}_R^- psi_L + {\bar\psi}_L lambda^+_R \right) 
 + 2 i g \sqrt{2 X_0}\, M^{\prime}_0 \left( {\bar\lambda}_R uvarphi_L - {\bar\varphi}_L lambda_R \right). }
\end{array}
\label{5.13}
\"
43,"\begin{equation}
\Psi = \sqrt{2M_0}\, psi_L + lambda^+_R, \hspace{2 em} 
Phi = \sqrt{M_0^{\prime}}\, uvarphi_L - i lambda_R.
\label{5.14}
\"
44,"\begin{equation}
b\cal L}_{ferm} = - {\bar\Psi}  \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} Psi 
 - {\bar\Phi}  \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} Phi 
 - {\bar\lambda}^+_L  \stackrel{\leftrightarrow}{\partial\hspace{-1.1ex}/} lambda^-_L
 + 2g \sqrt{2M_0}\, {\bar\Psi} Psi + 2g\sqrt{2X_0 M^{\prime}_0}\, {\bar\Phi} Phi.
\label{5.15}
\"
