,cite
0,\cite{gln}
1,\cite{gln}
2,"\cite{bv,brst}"
3,"\cite{BLT,3pl,anti,mod3pl}"
4,\cite{bv}
5,\cite{w}
6,\cite{geom}
7,\cite{DeWitt}
8,\cite{DeWitt}
9,\cite{DeWitt}
10,\cite{DeWitt}
