,equation
0,"\begin{equation}
\label{hamiltonian}
H = \kappa \left(a^{\dagger}a - \frac{1}{2}\right),
\"
1,"\begin{equation}
\label{hermitic}
\xi=\frac{1}{\sqrt{2}}(a+a^{\dagger}), \hspace{1.0in}
{\widetilde \xi}=\frac{i}{\sqrt{2}}(a-a^{\dagger}), 
\"
2,"\begin{equation}
\label{newhamiltonian}
H= i {\widetilde \xi} \xi
\"
3,"\begin{equation}
\label{keyrelation}
{\widetilde \xi}|0 \rangle = -i\xi|0 \rangle, \hspace{0.8in} 
H|0 \rangle = -\frac{1}{2}|0 \rangle,
\"
4,"\begin{equation}
\label{xiplus}
\xi_{cl}(q_+)=\lambda_+=\frac{\langle q_+|\xi|0 \rangle}{\langle q_+|0 
\rangle}
=\frac{+1}{\sqrt{2}}
\"
5,"\begin{equation}
\label{ximinus}
\xi_{cl}(q_-)=\lambda_-=\frac{\langle q_-|\xi|0 \rangle}{\langle q_-|0 
\rangle}
=\frac{-1}{\sqrt{2}}
\"
6,"\begin{equation}
O_{cl}(q_{\pm})={\cal P}_o(1,\xi_{cl}(q_{\pm}))=
\frac{\langle q_{\pm}|{\cal P}_o(1,\xi)|0 \rangle}{\langle q_{\pm}|0 
\rangle},
\"
7,"\begin{equation}
\label{wxiplus}
{\widetilde \xi}_{cl}(q_+)=-i \xi_{cl}(q_+)=\frac{-i}{\sqrt{2}}
\"
8,"\begin{equation}
\label{wximinus}
{\widetilde \xi}_{cl}(q_-)=-i \xi_{cl}(q_-)=\frac{i}{\sqrt{2}},
\"
9,"\begin{equation}
\label{classhamil}
h_{cl}(q_{\pm})=-\frac{1}{2}=\langle 0|H|0 \rangle.
\"
10,"\begin{equation}
\label{xip}
\xi(t) = e^{iHt} \xi e^{-iHt} = cos(t) \xi - sin(t) {\widetilde \xi}
\"
11,"\begin{equation}
\label{xim}
{\widetilde \xi}(t) = e^{iHt} {\widetilde \xi} e^{-iHt} = sin(t) \xi +
cos(t) {\widetilde \xi},
\"
12,"\begin{equation}
\label{fermiondynamics}
\frac{d\xi(t)}{dt} = -{\widetilde \xi}(t),
\hspace{1.0in}
\frac{d{\widetilde \xi}(t)}{dt} = \xi(t).
\"
13,"\begin{equation}
\xi(t)|0 \rangle = e^{it} \xi|0 \rangle,
\hspace{1.0in}
{\widetilde \xi}(t)|0 \rangle =-i e^{it} \xi|0 \rangle,
\"
14,"\begin{equation}
\label{classicalfermions}
\frac{d\xi_{cl}(t;q_{\pm})}{dt} = -{\widetilde \xi}_{cl}(t;q_{\pm}),
\hspace{1.0in}
\frac{{d\widetilde \xi}_{cl}(t;q_{\pm})}{dt} = \xi_{cl}(t;q_{\pm}),
\"
15,"\begin{equation}
\label{statePsi}
|\Psi \rangle=
\frac{1}{\sqrt{2}}\left((cos(\theta)+sin(\theta)e^{i\phi})|q_+
\rangle+(cos(\theta)-sin(\theta)e^{i\phi})|q_- \rangle
\right).
\"
16,"\begin{equation}
\label{ground}
O|\Psi \rangle = {\cal P}^{\psi}_o(1,\xi)|\Psi \rangle.
\"
