,equation
0,"\begin{equation} \label{rbtz}
ds^2 = - {(r^2- r_+^2)(r^2-r_-^2) \over r^2} dt^2 + {r^2 dr^2 \over
  (r^2 - r_+^2)(r^2 - r_-^2)} + r^2 \left( -{r_+ r_- \over r^2} dt +
  d\bar \phi \right)^2.
\"
1,"\begin{equation}
r_\pm^2 = {M \over 2} \left[ 1 \pm \left( 1 - {J^2 \over M^2}
  \right)^{1/2} \right],
\"
2,"\begin{equation}
T_1 = \sqrt{\alpha} \cosh( r_+ \bar \phi - r_- t),
\"
3,"\begin{equation}
T_2 = \sqrt{\alpha-1} \sinh( r_+ t - r_- \bar \phi),
\"
4,"\begin{equation}
X_1 = \sqrt{\alpha} \sinh( r_+ \bar \phi - r_- t),
\"
5,"\begin{equation}
X_2 = \sqrt{\alpha-1} \cosh( r_+ t - r_- \bar \phi),
\"
6,"\begin{equation} \label{rbtzb}
ds^2 = - {(r^2- r_+^2)(r^2-r_-^2) \over r^2} dt^2 + {r^2 dr^2 \over
  (r^2 - r_+^2)(r^2 - r_-^2)} + r^2 \left[ {r_- \over r_+ r^2} (r^2 -
  r_+^2) dt + d \phi \right]^2,
\"
7,"\begin{equation}
T_1 = \sqrt{\alpha} \cosh( r_+ \phi),
\"
8,"\begin{equation}
T_2 = \sqrt{\alpha-1} \sinh\left( {r_+^2 - r_-^2 \over r_+} t - r_-
\phi \right),
\"
9,"\begin{equation}
X_1 = \sqrt{\alpha} \sinh( r_+ \phi),
\"
10,"\begin{equation}
X_2 = \sqrt{\alpha-1} \cosh\left( {r_+^2 - r_-^2 \over r_+} t - r_-
\phi \right).
\"
11,"\begin{equation} \label{erbtzb}
ds^2 = {(r^2- r_+^2)(r^2+ \tilde r_-^2) \over r^2} d\tau^2 + {r^2 dr^2
  \over (r^2 - r_+^2)(r^2 + \tilde r_-^2)} + r^2 \left[ -{\tilde r_-
  \over r_+ r^2} (r^2 - r_+^2) d\tau + d \phi \right]^2.
\"
12,"\begin{equation} \label{lorp}
K^{1_{++}1_{++}}(x,b') = \sum_{n=-\infty}^{\infty} \left\{ - \sqrt{\alpha-1}
\cosh\left[{(r_+^2 - r_-^2) \over r_+}
\Delta t - r_- \Delta \phi_n) \right] + \sqrt{\alpha} \cosh( r_+
\Delta \phi_n) \right\}^{-2h_+}.
\"
13,"\begin{equation} \label{lorpch}
K^{2_{++}1_{++}}(x,b') = \sum_{n=-\infty}^{\infty} \left\{ - \sqrt{1-\alpha}
\sinh\left[{(r_+^2 - r_-^2) \over r_+}
\Delta t - r_- \Delta \phi_n) \right] + \sqrt{\alpha} \cosh( r_+
\Delta \phi_n) \right\}^{-2h_+}.
\"
14,"\begin{equation}
K_E(x,b') = \sum_{n=-\infty}^{\infty} \left\{ - \sqrt{\alpha-1}
\cos\left[{(r_+^2 + \tilde r_-^2) \over r_+}
\Delta \tau - \tilde r_- \Delta \phi_n) \right] + \sqrt{\alpha} \cosh( r_+
\Delta \phi_n) \right\}^{-2h_+}.
\"
15,"\begin{equation} \label{lsing}
\Delta t = {r_+ r_- \over (r_+^2 - r_-^2)}\Delta \phi_n \pm {r_+ \over
(r_+^2 - r_-^2)} \cosh^{-1} \left[ \sqrt{ \alpha \over \alpha-1} \cosh
r_+ \Delta \phi_n \right] + {2\pi r_+ \over (r_+^2 - r_-^2)} i m,
\"
16,"\begin{equation}
\Delta t = { r_+ r_- \pm r_+^2 \over r_+^2 - r_-^2} \Delta \phi_n +
{2\pi r_+ \over r_+^2 - r_-^2} i m.
\"
17,"\begin{equation}
\Delta t = \pm \Delta \bar \phi_n + {2\pi r_+ \over (r_+^2 \pm r_+
r_-)} i m,
\"
18,"\begin{equation} \label{esing}
\Delta t = -i {r_+ \tilde{r}_- \over (r_+^2 + \tilde{r}_-^2)} \Delta
\phi_n \pm {r_+ \over (r_+^2 + \tilde{r}_-^2)} \cosh^{-1} \left[
\sqrt{ \alpha \over \alpha-1} \cosh r_+ \Delta \phi_n \right] + {2\pi
r_+ \over (r_+^2 + \tilde{r}_-^2)} i m,
\"
