,equation
0,"\begin{equation}
(A\star B)(x_{o},p_{o},y_{o},q_{o})=A\exp \left( {\frac{\theta ^{\prime }}{2}%
}\sum_{o>0}\left( {\frac{\overleftarrow{\partial }}{\partial x_{o}}}{\frac{%
\overrightarrow{\partial }}{\partial p_{o}}}+{\frac{\overleftarrow{\partial }%
}{\partial y_{o}}}{\frac{\overrightarrow{\partial }}{\partial q_{o}}}+{\frac{%
\overleftarrow{\partial }}{\partial p_{o}}}{\frac{\overrightarrow{\partial }%
}{\partial x_{o}}}+{\frac{\overleftarrow{\partial }}{\partial q_{o}}}{\frac{%
\overrightarrow{\partial }}{\partial y_{o}}}\right) \right) B\,,
\label{e_M1}
\"
1,"\begin{equation}
x_{e}^{b}:=\kappa _{e}^{-1}\sum_{o>0}S_{eo}x_{o}\,,\quad p_{e}^{b}:=\kappa
_{e}\sum_{o>0}S_{eo}p_{o}\,,\quad x_{e}^{c}:=\sum_{o>0}T_{eo}y_{o}\,,\quad
p_{e}^{c}:=\sum_{o>0}q_{o}R_{oe}\,.
\"
2,"\begin{equation}
(A\star B)(x_{e}^{b},p_{e}^{b},x_{e}^{c},p_{e}^{c})=A\exp \left( {\frac{%
\theta ^{\prime }}{2}}\sum_{e>0}\left( {\frac{\overleftarrow{\partial }}{%
\partial x_{e}^{b}}}{\frac{\overrightarrow{\partial }}{\partial p_{e}^{b}}}+{%
\frac{\overleftarrow{\partial }}{\partial x_{e}^{c}}}{\frac{\overrightarrow{%
\partial }}{\partial p_{e}^{c}}}+{\frac{\overleftarrow{\partial }}{\partial
p_{e}^{b}}}{\frac{\overrightarrow{\partial }}{\partial x_{e}^{b}}}+{\frac{%
\overleftarrow{\partial }}{\partial p_{e}^{c}}}{\frac{\overrightarrow{%
\partial }}{\partial x_{e}^{c}}}\right) \right) B\,.  \label{e_M2}
\"
3,"\begin{equation}
M_{0}^{\left( o\right) }=\left( 
\begin{array}{cc}
{\frac{1}{2}}\mathbf{1}_{o} & 0 \\ 
0 & {\frac{2}{{\theta ^{\prime }}^{2}}}\left( \bar{S}\bar{R}\right)
_{oo^{\prime }}
\end{array}
\right) \,,~\lambda _{1}=\left( 
\begin{array}{c}
-i\sqrt{2}\hat{c}_{o} \\ 
\frac{2i}{\theta ^{\prime }}\bar{S}_{oe}\left( -\sqrt{2}\hat{b}_{e}+w_{e}\xi
_{0}\right) 
\end{array}
\right) \,,~\lambda _{2}=\left( 
\begin{array}{c}
-\sqrt{2}\hat{b}_{o} \\ 
-{\frac{2\sqrt{2}}{\theta ^{\prime }}}R_{oe}\hat{c}_{e}
\end{array}
\right)\,.   \label{e_def_M_lambda}
\"
4,"\begin{equation}
\beta _{o}^{b}:={\frac{1}{2}}\left( {\frac{2}{{\theta ^{\prime }}}}%
q_{|o|}-i\epsilon (o)x_{|o|}\right) ,\;\beta _{o}^{c}:={\frac{1}{2}}\left(
y_{|o|}-i{\frac{2}{{\theta ^{\prime }}}}\epsilon (o)p_{|o|}\right)
\,,\;\{\beta _{o}^{b},\beta _{o^{\prime }}^{c}\}_{\star }=\delta
_{o+o^{\prime }}\,.~~~~  \label{oddmode_fields}
\"
5,"\begin{equation}
\beta _{e}^{b}=\sum_{o}\beta _{o}^{b}\,U_{-o,e}^{-1}\,,\;\beta
_{e}^{c}=\sum_{o}U_{e,-o}\beta _{o}^{c}\,,\;\{\beta _{e}^{b},\beta
_{e^{\prime }}^{c}\}_{\star }=\delta _{e+e^{\prime }}\,,  \label{even_fields}
\"
6,"\begin{equation}
%  \psi(0)=\psi(\pi)=0\label{full_BC}
% \"
7,"\begin{equation}
\psi (\sigma )=\sqrt{2}\sum_{n=1}^{\infty }\psi _{n}\sin n\sigma \,,\;\psi
_{n}={\frac{\sqrt{2}}{\pi }}\int_{0}^{\pi }d\sigma \psi (\sigma )\sin
n\sigma \,.  \label{eq_psi_exp}
\"
8,"\begin{equation}
\psi (\sigma )=\left\{ 
\begin{array}{lc}
l(\sigma ) & \quad 0\leq \sigma \leq {\frac{\pi }{2}} \\ 
r(\pi -\sigma ) & \quad {\frac{\pi }{2}}\leq \sigma \leq \pi
\end{array}
\right. \,,\;\psi _{n}={\frac{\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi }{2}%
}d\sigma (l(\sigma )-(-1)^{n}r(\sigma ))\sin n\sigma \,.  \label{eq:psilrExp}
\"
9,"\begin{equation}
l(0)=r(0)=0\,,\qquad l^{\prime }(\pi /2)=r^{\prime }(\pi /2)=0\,.
\"
