,label
0,\label{nons}
1,\label{sm}
2,\label{gvo}
3,\label{fX}
4,\label{card}
5,\label{bounc0}
6,\label{bounc1}
7,\label{bounc}
8,\label{mlc}
9,\label{ptt}
10,\label{fX2}
11,\label{mM}
12,\label{cwf}
13,\label{massf}
14,\label{mpr}
15,\label{dbr25}
16,\label{binf}
17,\label{dbrp}
18,\label{prop}
19,\label{mlg}
20,\label{amp1}
21,\label{3bc}
22,\label{ds}
23,\label{v2}
24,\label{bc}
25,\label{eq1}
26,\label{ferac}
27,\label{i1}
28,\label{mbc}
29,\label{brst}
30,\label{gbc}
31,\label{LtoR}
32,\label{1}
33,\label{cdisk}
34,\label{cardy}
