,equation
0,"\begin{equation}\label{5.1}
[\delta_{\varepsilon_1},\delta_{\varepsilon_2}]=\delta_{\lb\varepsilon_1\varepsilon_2\rb}\,,
\"
1,"\begin{equation}\label{5.2}
\lb\varepsilon_1,f\varepsilon_2\rb=f\lb\varepsilon_1,\varepsilon_2\rb + (\delta_{\varepsilon_1} f)\varepsilon_2\,.
\"
2,"\begin{equation}\label{5.1b}
\lb e^j,e^k\rb=f^{jk}_i(x)e^i\,,~~x\in M\,.
\"
3,"\begin{equation}\label{5.3}
C^n_{j,k,m}\delta_{e_n}=0\,,
\"
4,"\begin{equation}\label{5.4}
C^n_{jkm}=f^{jk}_i(x)f_n^{im}(x)+\delta_{e^m}f^{jk}_n(x)+{\rm c.p.}(j,k,m)\,.
\footnote{The sums over repeated indices are understood throughout the paper.}
\"
5,"\begin{equation}\label{5.5}
f^{jk}_i(x)f_n^{im}(x)+\delta_{e^m}f^{jk}_n(x)+{\rm c.p.}(j,k,m)=0\,.
\"
6,"\begin{equation}\label{a1}
T_xS=T_xM\oplus T_x{\cal O}_P\,,
\"
7,"\begin{equation}\label{a2}
{\rm Pr}_P\delta_\epsilon(x)=0
\"
8,"\begin{equation}\label{rep}
[\rho({\varepsilon_1}),\rho({\varepsilon_2})]=\rho({\lb\varepsilon_1\varepsilon_2\rb})\,,
\"
9,"\begin{equation}\label{5.15i}
\delta_{e^j}=b^j_a(x)\frac{\partial}{\partial x_a}=\langle b^j|\frac{\delta}{\delta  x}\rangle   \,.
\footnote{The brackets $\langle|\rangle   $ mean summations over all indices,
 taking a traces,
integrations, etc.}
\"
10,"\begin{equation}\label{5.15j}
{\rho}_{e^j}w=\langle  b^j|\frac{\delta}{\delta x}w\rangle   -\langle\frac{\delta}{\delta x}b^j|w\rangle   \,.
\"
11,"\begin{equation}\label{5.16i}
\rho_{e^j}p=\frac{\delta}{\delta x}\langle  p|b^j(x)\rangle \,  .
\"
12,"\begin{equation}\label{5.6}
-\sum_{j<i}
(-1)^{i+j}c_n(x;\lb e^{i},e^j\rb,\ldots,\hat{e}^{j},\ldots,\hat{e}^{i},\ldots,e^{n}).
\"
13,"\begin{equation}\label{5.7}
sc(x;\varepsilon)=\delta_\varepsilon c(x)\,,
\"
14,"\begin{equation}\label{5.8}
sc(x;\varepsilon_1,\varepsilon_2)=\delta_{\varepsilon_1}c(x;\varepsilon_2)-\delta_{\varepsilon_2}c(x;\varepsilon_1)-
c(x;\lb \varepsilon_1,\varepsilon_2\rb)\,,
\"
15,"\begin{equation}\label{5.9}
sc(x;\varepsilon_1,\varepsilon_2,\varepsilon_3)=\delta_{\varepsilon_1}c(x;\varepsilon_2,\varepsilon_3)-
\delta_{\varepsilon_2}c(x;\varepsilon_1,\varepsilon_3)
\"
16,"\begin{equation}\label{5.11}
\hat{\delta}_\varepsilon f(x)= \delta_\varepsilon f(x)+c(x;\varepsilon), ~~sc(x;\varepsilon)=0.
\"
17,"\begin{equation}\label{5.11a}
\hat{\delta}_{\varepsilon}\Psi=\left(\delta_\varepsilon+c(x;\varepsilon)\right)\Psi(x).
\"
18,"\begin{equation}\label{5.11b}
\hat{\delta}_{\varepsilon}\Psi=0
\"
19,"\begin{equation}\label{5.9a}
\lb(\varepsilon_1,k_{1}),(\varepsilon_2,k_{2})\rb_{c.e.}=
(\lb\varepsilon_1,\varepsilon_2\rb,c (x;\varepsilon_1,\varepsilon_2))\,.
\"
20,"\begin{equation}\label{ch1}
  \delta_{\varepsilon}c_{\alpha\beta}(x)=-c_\alpha(x;\varepsilon)+c_\beta(x;\varepsilon)\,,
\"
21,"\begin{equation}\label{ch2}
 c_{\alpha\gamma}(x)=c_{\alpha\beta}(x)+c_{\beta\gamma}(x)\,.
\"
22,"\begin{equation}\label{5.12}
\{ h_{\varepsilon_1},h_{\varepsilon_2}\}=h_{\lb\varepsilon_1,\varepsilon_2 \rb}\,.
\"
23,"\begin{equation}\label{5.13a}
C_n^{j,k,m}h_{\varepsilon^n}=0\,.
\"
24,"\begin{equation}\label{5.14}
f^{jk}_i(x)f_n^{im}(x)+\{h_{e^m},f^{jk}_n(x)\}+
E^{j,k,m}_{[ln]}h_{\varepsilon^l}+c.p.(j,k,m)=0\,.
\"
25,"\begin{equation}\label{5.15}
f^{jk}_i(x)f_n^{im}(x)+\{H_{\varepsilon^m}f^{jk}_n(x)\}+c.p.(j,k,m)=0
\"
26,"\begin{equation}\label{na}
\nabla \Psi=\frac{\delta \Psi}{\delta A}+\kappa \bar{A}\Psi\,.
\"
27,"\begin{equation}\label{5.15a}
\hat{\delta}_{e^j}=\langle  b^j|\frac{\delta}{\delta  x}\rangle   +c(x;e^j)\,.
\"
28,"\begin{equation}\label{5.16a}
\hat{\delta}_{e^j}p=-\frac{\delta}{\delta x}\langle p|b^j(x)\rangle-\frac{\delta}{\delta x}c(x;e^j)\,.
\"
29,"\begin{equation}\label{5.17}
h^j=\langle p|b^j(x)\rangle   +c^j(x)\,.
\"
30,"\begin{equation}\label{5.19}
\{\eta_j,{\cal P}^k\}=\delta_j^k\,,~~\{\eta^j,x\}=\{{\cal P}_k,x\}=0\,.
\"
31,"\begin{equation}\label{5.20}
\Omega=\langle \eta|F\rangle   +\frac{1}{2}\langle \lb\eta,\eta'\rb|{\cal P}\rangle \,.
\"
32,"\begin{equation}\label{2.1}
\partial_i\pi^{jk}(x)\pi^{im}(x)+{\rm c.p.}(j,k,m)=0\,.
\"
33,"\begin{equation}\label{2.2a}
V^\pi:T^*M\to TM\,,~~
V^\pi_\varepsilon=\langle\varepsilon|\pi|\partial\rangle\,.
\"
34,"\begin{equation}\label{dx}
\delta_\varepsilon x=\pi(x)|\varepsilon\rangle\,.
\"
35,"\begin{equation}\label{2.2}
f\to V_f= \langle df|\pi|\partial\rangle\,.
\"
36,"\begin{equation}\label{2.3}
\lb\varepsilon,\varepsilon'\rb=d\langle\varepsilon|\pi(x)|\varepsilon'\rangle+\langle d\varepsilon|\pi|\varepsilon'\rangle
+\langle\varepsilon|\pi|d\varepsilon'\rangle\,.
\"
37,"\begin{equation}\label{2.3a}
[ V_\varepsilon,V_{\varepsilon'}]=V_{\lb\varepsilon,\varepsilon'\rb}\,.
\"
38,"\begin{equation}\label{co}
V^\pi_\varepsilon\sim{\rm ad}^*_\varepsilon \,.
\"
39,"\begin{equation}\label{7.4b}
\delta_\varepsilon X=\pi(X)|\varepsilon\rangle\,.
\"
40,"\begin{equation}\label{7.2a}
\omega=\f1{2\pi}\oint\langle D X \we D\xi \rangle.
\"
41,"\begin{equation}\label{7.5}
\hat{\delta}_\varepsilon\xi=\frac{\delta}{\delta X}c(X,\varepsilon)
+\langle \varepsilon|\frac{\delta}{\delta X}\pi|\xi\rangle=
-\bar{\partial}\epsilon+\langle\varepsilon|\frac{\delta}{\delta X}\pi|\xi\rangle\,,
\"
42,"\begin{equation}\label{7.7}
c(X,\varepsilon)=-\f1{2\pi}\oint\langle\varepsilon|\bar{\partial} X\rangle\,.
\"
43,"\begin{equation}\label{7.3}
F:=\bar{\partial} X+\pi(X)|\xi\rangle=0\,.
\"
44,"\begin{equation}\label{anc}
\hat{\delta}_{\varepsilon} f(X,\xi)=\{h_{\varepsilon},f(X,\xi)\}\,.
\"
45,"\begin{equation}\label{7.8}
h_{\varepsilon}=\oint\langle\varepsilon| F\rangle\,.
\"
46,"\begin{equation}\label{7.4c}
B(X)=\lambda+\pi (X)\,,~~B(X)\psi_1=\psi_2\,.
\"
47,"\begin{equation}\label{7.4a}
B(X)\psi_1=0\,.
\"
48,"\begin{equation}\label{7.5a}
A^*\psi_1=0\,,
\"
49,"\begin{equation}\label{7.5c}
A=-\bar{\partial}+|\frac{\delta}{\delta X}\pi|\xi\rangle\,,
\"
50,"\begin{equation}\label{LB}
\hat{\delta}_{\varepsilon}\Psi(X):=\f1{2\pi}\oint\langle\varepsilon|
\pi(X)d\Psi(X)\rangle+
\left(\f1{2\pi}\oint\langle\varepsilon|\bar{\partial} X\rangle
\right)\Psi(X)=0.
\"
51,"\begin{equation}\label{8.0}
d'=\partial +A\,, ~~d''=\bar{\partial}\,.
\"
52,"\begin{equation}\label{8.1}
\delta_\varepsilon A=\partial\varepsilon+[A,\varepsilon]\,.
\"
53,"\begin{equation}\label{8.0a}
A|_{z\to x_a}=\frac{A_a}{z-x_a}\,.
\"
54,"\begin{equation}\label{8.0b}
\varepsilon|_{z\to x_a}=r_a+O(z-x_a)\,, ~~r_a\neq 0\,.
\"
55,"\begin{equation}\label{8.1a}
\delta_\varepsilon p_a=[p_a,r_a]\,,~~
\varepsilon\in {\cal G}_{SL_N}\,.
\"
