,equation
0,"\begin{equation}
ds^2 =dr^2+\ell^2\sinh^2(r/\ell)d\Omega^2_4,
\label{orig}
\"
1,"\begin{equation}
\sigma=\frac{3}{4\pi G_5 \ell}\coth(r_0/\ell).
\"
2,"\begin{equation}
ds^2 =a^2(z)(dz^2+d\Omega^2_4)
\quad\qquad a(z)=\frac{\ell}{\sinh(z_0+|z|)}\,,
\label{metric}
\"
3,"\begin{equation}
W^M=-\frac14\log\det\Delta
\"
4,"\begin{equation}
\Delta=-\nabla^2+\frac14{}R^{(5)}
\"
5,"\begin{equation}
\Delta=\left (-\partial_ z{}^2-\Delta^{(4)}_f+3\right),
\label{eigferm}
\"
6,"\begin{equation}
\label{eig}
{\lambda_{n,m}^M}=\left(\frac{\pi n}{L}\right)^2+(m+2)^2\,.
\"
7,"\begin{equation}
d^M(m)=8\times\frac{1}{6}(m+1)(m+2)(m+3)
\label{degferm}
\"
8,"\begin{equation}
\label{gfunc}
\zeta^M(s)=\sum_{m,n=0}^\infty d(m) \lambda_{m,n}^{-s}.
\"
9,"\begin{equation}
\label{effact}
W^M=\frac{1}{4}\,\zeta^{M\prime}(0)+\frac{1}{4} \zeta(0) \log \mu^2
\"
10,"\begin{equation}
\partial_t^2\psi-\Delta_f^{(4)}\psi+\frac{1}{4}R^{(4)}\psi=0.
\"
11,"\begin{equation}
E_0^M=-\frac 1 4 \zeta^M(-1/2)=
-\frac{1}{3}\left(\zeta(2s-3,2)-\zeta(2s-1,2)\right)_{s\rightarrow -1/2}=0,
\label{ein}
\"
12,"\begin{equation}
\zeta^M(s)=\frac{2L}{\pi}\int_0^\infty dk \sum_{m=0}^\infty d^M(m)
\left(k^2+(m+2)^2\right)^{-s},
\"
13,"\begin{equation}
\label{1bravac}
\zeta^{M\prime}(0)=\frac{L}{\pi}\frac 4 3 \sqrt{\pi}\,\Gamma(-1/2)
\left(\zeta(-4,2)-\zeta(-2,2)\right)=0.
\"
14,"\begin{equation}
W=-\frac 2 3 L\,\left(\zeta(-4,2)-\zeta(-2,2)\right)=0.
\"
15,"\begin{equation}
ds^2 =dr^2+\ell^2\sinh^2(r/\ell)d\Omega^2_4,
\label{orig}
\"
16,"\begin{equation}
\sigma=\frac{3}{4\pi G_5 \ell}\coth(r_0/\ell).
\"
17,"\begin{equation}
ds^2 =a^2(z)(dz^2+d\Omega^2_4)
\quad\qquad a(z)=\frac{\ell}{\sinh(z_0+|z|)}\,,
\label{metric}
\"
18,"\begin{equation}
W^M=-\frac14\log\det\Delta
\"
19,"\begin{equation}
\Delta=-\nabla^2+\frac14{}R^{(5)}
\"
20,"\begin{equation}
\Delta=\left (-\partial_ z{}^2-\Delta^{(4)}_f+3\right),
\label{eigferm}
\"
21,"\begin{equation}
\label{eig}
{\lambda_{n,m}^M}=\left(\frac{\pi n}{L}\right)^2+(m+2)^2\,.
\"
22,"\begin{equation}
d^M(m)=8\times\frac{1}{6}(m+1)(m+2)(m+3)
\label{degferm}
\"
23,"\begin{equation}
\label{gfunc}
\zeta^M(s)=\sum_{m,n=0}^\infty d(m) \lambda_{m,n}^{-s}.
\"
24,"\begin{equation}
\label{effact}
W^M=\frac{1}{4}\,\zeta^{M\prime}(0)+\frac{1}{4} \zeta(0) \log \mu^2
\"
25,"\begin{equation}
\partial_t^2\psi-\Delta_f^{(4)}\psi+\frac{1}{4}R^{(4)}\psi=0.
\"
26,"\begin{equation}
E_0^M=-\frac 1 4 \zeta^M(-1/2)=
-\frac{1}{3}\left(\zeta(2s-3,2)-\zeta(2s-1,2)\right)_{s\rightarrow -1/2}=0,
\label{ein}
\"
27,"\begin{equation}
\zeta^M(s)=\frac{2L}{\pi}\int_0^\infty dk \sum_{m=0}^\infty d^M(m)
\left(k^2+(m+2)^2\right)^{-s},
\"
28,"\begin{equation}
\label{1bravac}
\zeta^{M\prime}(0)=\frac{L}{\pi}\frac 4 3 \sqrt{\pi}\,\Gamma(-1/2)
\left(\zeta(-4,2)-\zeta(-2,2)\right)=0.
\"
29,"\begin{equation}
W=-\frac 2 3 L\,\left(\zeta(-4,2)-\zeta(-2,2)\right)=0.
\"
