,equation
0,"\begin{equation}\label{Virasoro}
\left[L_n,L_m\right]=-i(n-m)L_{n+m}.
\"
1,"\begin{equation}\label{left1}
G'=(1+ia)G,
\"
2,"\begin{equation}\label{epsilon}
a = a_0 L_{-1}+{a_{1}}L_0+ {a_{2}}L_1+...+{a_{m}}L_m+... =
\sum_{n=0}^{\infty}a_nL_{n-1},
\"
3,"\begin{equation}\label{a}
a(\tau)=a_0+a_1\tau+a_2\tau^2+ +a_3\tau^3\ldots =
\sum_{n=0}^{\infty}a_n\tau^n.
\"
4,"\begin{equation}\label{coset2}
G_C=e^{i\tau L_{-1}} \cdot e^{ix_1L_1} \cdot e^{i{x_0}L_0}.
 \"
5,"\begin{equation}\label{Conditions}
 x_n=0,\quad n\geq 2
\"
6,"\begin{equation}\label{3parameter}
  a(\tau)= a_0+a_1\tau +a_2\tau^2.
\"
7,"\begin{equation}\label{newVar}
  x=e^{x_0/2},\quad p=x_1 x,
\"
8,"\begin{equation}\label{CT}
\tau'=\frac{a\tau+b}{c\tau+d},\quad x'=\frac{x}{c\tau+d},\quad
p'=(c\tau+d)p-cx,
\"
9,"\begin{equation}\label{ActionAFF} S = {1\over 2} \int d\tau \left( \dot{x}^2 -
{\gamma\over x^2} \right). \"
10,"\begin{equation}\label{CartanC}
\Omega_C=G_C^{-1} dG_C=\Omega_{-1}L_{-1}+\Omega_0 L_0+\Omega_1 L_1
\"
11,"\begin{equation}\label{ActionAFFHarmonic} S_1 = {1\over 2} \int d\tau \left(
\dot{x}^2 -  {\gamma\over x^2}-\omega^2 x^2 \right). \"
12,"\begin{equation}\label{CartanV}
\Omega_V=G^{-1} dG=\Omega_{-1}L_{-1}+\Omega_0 L_0+\Omega_1^V L_1+
\Omega_2^V L_2+\ldots
\"
13,"\begin{equation}\label{CartanV1}
\Omega_1^V=xdp-pdx+p^2d\tau-3x_2x^2d\tau
\"
14,"\begin{equation}\label{x2omega}
x_2(\tau)=-\frac{1}{3}\omega^2,\quad \omega=const,
\"
15,"\begin{equation}\label{EqOmegaConst}
\stackrel{\ldots}{a}(\tau)+4\omega^2\dot{a}(\tau)=0.
\"
16,"\begin{equation}\label{ParOmegaConst}
a(\tau)=a_0+a_1\sin(2\omega\tau)+a_2\cos(2\omega\tau).
\"
17,"\begin{equation}\label{EqOmegaTime}
\stackrel{\ldots}{a}(\tau)+4\omega^2(\tau)\dot{a}(\tau)+
2\frac{d}{d\tau}{(\omega^2(\tau))}{a}(\tau)=0.
\"
18,"\begin{equation}\label{Solution}
  a(\tau)=C_1 u_1^2+C_2 u_1u_2+C_3 u_2^2,
\"
19,"\begin{equation}\label{Aux}
\ddot{u}(\tau)+\omega^2(\tau){u}(\tau)=0.
\"
20,"\begin{equation}\label{Freq}
\omega^2(\tau)=\frac{1}{2}\frac{d}{d\tau} \left(\frac{\ddot
f(\tau)}{\dot f(\tau)}\right)- \frac{1}{4}\left(\frac{\ddot
f(\tau)}{\dot f(\tau)}\right)^2,
\"
21,"\begin{equation}\label{TintoTau}
 \left(\frac{d^2}{d\tau^2}+
 \omega^2(\tau)\right)\frac{1}{\sqrt{\dot f(\tau)}}=0.
\"
22,"\begin{equation}\label{Virasoro}
\left[L_n,L_m\right]=-i(n-m)L_{n+m}.
\"
23,"\begin{equation}\label{left1}
G'=(1+ia)G,
\"
24,"\begin{equation}\label{epsilon}
a = a_0 L_{-1}+{a_{1}}L_0+ {a_{2}}L_1+...+{a_{m}}L_m+... =
\sum_{n=0}^{\infty}a_nL_{n-1},
\"
25,"\begin{equation}\label{a}
a(\tau)=a_0+a_1\tau+a_2\tau^2+ +a_3\tau^3\ldots =
\sum_{n=0}^{\infty}a_n\tau^n.
\"
26,"\begin{equation}\label{coset2}
G_C=e^{i\tau L_{-1}} \cdot e^{ix_1L_1} \cdot e^{i{x_0}L_0}.
 \"
27,"\begin{equation}\label{Conditions}
 x_n=0,\quad n\geq 2
\"
28,"\begin{equation}\label{3parameter}
  a(\tau)= a_0+a_1\tau +a_2\tau^2.
\"
29,"\begin{equation}\label{newVar}
  x=e^{x_0/2},\quad p=x_1 x,
\"
30,"\begin{equation}\label{CT}
\tau'=\frac{a\tau+b}{c\tau+d},\quad x'=\frac{x}{c\tau+d},\quad
p'=(c\tau+d)p-cx,
\"
31,"\begin{equation}\label{ActionAFF} S = {1\over 2} \int d\tau \left( \dot{x}^2 -
{\gamma\over x^2} \right). \"
32,"\begin{equation}\label{CartanC}
\Omega_C=G_C^{-1} dG_C=\Omega_{-1}L_{-1}+\Omega_0 L_0+\Omega_1 L_1
\"
