,equation
0,"\begin{equation}
\label{F}
F_{\mu\nu}=f_{\mu\nu}-2\pi\epsilon_{\mu\nu\lambda}
\partial_\lambda\int d^3y D(x-y)n(y),
\"
1,"\begin{equation}
-\partial^2 D(x-y)=\delta^3(x-y).
\"
2,"\begin{equation}
\partial_\mu F^*_\mu(x)=2\pi n(x).
\"
3,"\begin{equation}
\label{pot1}
V(R)\sim\ln R. 
\"
4,"\begin{equation}
\label{flowK}
\frac{d K^{-1}}{dl}=4\pi^2 y^2-(2-d)K^{-1},
\"
5,"\begin{equation}
\label{flowy}
\frac{dy}{dl}=\left[d-2\pi^2f(d)K\right]y,
\"
6,"\begin{equation}
\label{Higgs}
S=-\beta\sum_{x,\mu}\cos[\Delta_\mu\theta(x)-qA_\mu(x)]
-\kappa\sum_{x,\mu,\nu}\cos[F_{\mu\nu}(x)],
\"
7,"\begin{equation}
\label{ASG}
S=\frac{1}{8\pi^2K}
\int d^3 x[\varphi(-\partial^2)^{3/2}\varphi
-2z\cos\varphi], 
\"
8,"\begin{equation}
\label{anomMaxwell}
S_{\rm eff}\propto\int d^3xF_{\mu\nu}\frac{1}{\sqrt{
-\partial^2}}F_{\mu\nu}.
\"
9,"\begin{equation}
\label{potential}
V(r)=\frac{\Gamma\left(\frac{d-\sigma}{2}\right)}{
2^\sigma\pi^{d/2}\Gamma(\sigma/2)}[(\Lambda r)^{\sigma-d}-1],
\"
10,"\begin{equation}
\label{logpot}
V(r)|_{d=\sigma}=-\frac{2^{1-\sigma}\pi^{-\sigma/2}}{\Gamma(\sigma/2)}
\ln(\Lambda r).
\"
11,"\begin{equation} 
E(r)=-\frac{4\pi^2K  ~ A(d,\sigma) ~r^{\sigma-d-1}}{\varepsilon(r)}, 
\"
12,"\begin{equation}
\label{suscept}
\chi(r)=N_d\int_{r_0}^r n(s,\theta)\alpha(s) s^{d-1}\sin^{d-2}\theta 
ds d\theta,
\"
13,"\begin{equation}
\alpha(r)=\frac{4\pi^2K r^2}{d}+{\cal O}(r^4).
\"
14,"\begin{equation}
n(r)=\frac{y_0^2}{r_0^{2d}}e^{-U(r)},
\"
15,"\begin{equation}
\label{effpot}
U(r)=U(r_0)+4\pi^2
K A(d,\sigma)\int_{r_0}^{r}ds \frac{s^{\sigma-d-1}}{\varepsilon(s)}.
\"
16,"\begin{equation}
\label{stiffness}
\frac{1}{K_{\rm eff}(l)}=\frac{\varepsilon(r_0\exp l)}{K}e^{-(\sigma-d)l}.
\"
17,"\begin{equation}
\label{udel}
u(l)=u(0)+4\pi^2A(d,\sigma)\int_0^l dv K_{\rm eff}(v).
\"
18,"\begin{equation}
\label{flowu}
\frac{du}{dl}=4\pi^2A(d,\sigma)K_{\rm eff}(l).
\"
19,"\begin{equation}
\label{effecfug}
y^2(l)=\frac{2S_d^2}{d r_0^{\sigma-2}}y_0^2 e^{(2d-\sigma+2)l-u(l)}.
\"
20,"\begin{equation}
\label{flowK2}
\frac{d K_{\rm eff}^{-1}}{dl}=4\pi^2y^2-(\sigma-d)K_{\rm eff}^{-1},
\"
21,"\begin{equation}
\label{flowy2}
\frac{dy}{dl}=\left[d-\eta_y-2\pi^2A(d,\sigma)K_{\rm eff}\right]y,
\"
