,itemize
0,"\begin{itemize}
\item A pair $(l,l')$ is allowed, i.e.\ $(l,l')\in \cE $, if
$Q_{\mathcal{J} } (l)=Q_{\mathcal{J} '} (l')$ for all $(\mathcal{J} ,\mathcal{J} ')\in
\mathcal{G}_{\id }$
\item Two pairs $(l,l')$ and $(\mathcal{J}\mspace{-1.2mu} l,\mathcal{J}'\mspace{-1.2mu} l')$ 
label the same sector, i.e.\ 
\[
\cH ^{(l,l')}\ \cong \ \cH ^{(\mathcal{J} \mspace{-1.2mu}  l,\mathcal{J}'\mspace{-1.2mu}  l')}\ \ .
\]
\"
1,"\begin{itemize}
\item $L_{1}+L'<\frac{k}{2}$:

In~\eqref{bcflow} we choose $\alpha = [L_{1},L_{2},0]$ and $S= (L',0)$
and find the flow
\begin{equation}\label{mmDAflowI}
[L_{1},L_{2},L']\ \longrightarrow \ \makebox[6cm][l]{$\displaystyle\bigoplus_{J}
N^{(k)}_{L_{1}L'}{}^{J}\, [J,L_{2},0] \ \ .$}
\end{equation}
Alternatively, we choose $\alpha = [L_{1},1-L_{2},0]$ and $S=
(k+1-L',0)$ and obtain
\begin{equation}\label{mmDAflowII}
[L_{1},L_{2},L']\ \longrightarrow \ \makebox[6cm][l]{$\displaystyle \bigoplus_{J}
N^{(k)}_{L_{1},(L'-1)}{}^{J}\, [J,1-L_{2},0] \ \ .$}
\end{equation}
\begin{figure}
\begin{center}
\minmodflowsDAI 
\end{center}
\caption{\label{minmodflowsDAI}The flows~\eqref{mmDAflowI}
and~\eqref{mmDAflowII} illustrated in the half-cylinder geometry of
the (D,A)-minimal models.}
\end{figure}
The flows are illustrated in fig.\ \ref{minmodflowsDAI}.

\item $\frac{k}{2}\leq L_{1}+L',\ L_{1}\not= \frac{k}{2}$

As in the previous case, we set $\alpha = [L_{1},L_{2},0]$ and $S=
(L',0)$. The rule~\eqref{bcflow} then leads to
\begin{equation}\label{mmDAflowIII}
[L_{1},L_{2},L'] \ \longrightarrow \ \makebox[8cm][l]{$\displaystyle\begin{array}[t]{l}\displaystyle \bigoplus_{J< \frac{k}{2}}
\bigl( N^{(k)}_{L_{1}L'}{}^{J}+N^{(k)}_{L_{1}L'}{}^{k-J} \bigr) [J,L_{2},0]\\
 \quad \oplus \quad N^{(k)}_{L_{1}L'}{}^{\frac{k}{2}} \ ([\frac{k}{2},+],L_{2},0) \\[2mm]
 \quad \oplus \quad N^{(k)}_{L_{1}L'}{}^{\frac{k}{2}} \ ([\frac{k}{2},-],L_{2},0)
\end{array}$ }
\end{equation}
We find a second flow for $\alpha = [L_{1},1-L_{2},0]$ and $S= (k+1-L')$,
\begin{equation}\label{mmDAflowIV}
[L_{1},L_{2},L'] \ \longrightarrow \ \makebox[8cm][l]{$\displaystyle\begin{array}[t]{l}\displaystyle \bigoplus_{J< \frac{k}{2}}
\bigl( N^{(k)}_{L_{1} (L'-1)}{}^{J}+N^{(k)}_{L_{1} (L'-1)}{}^{k-J} \bigr) [J,1-L_{2},0]\\
 \quad \oplus \quad N^{(k)}_{L_{1} (L'-1)}{}^{\frac{k}{2}} \ [[\frac{k}{2},+],1-L_{2},0] \\[2mm]
 \quad \oplus \quad N^{(k)}_{L_{1} (L'-1)}{}^{\frac{k}{2}} \ ([[\frac{k}{2},-],1-L_{2},0]
\end{array}$ }
\end{equation}
\begin{figure}
\begin{center}
\minmodflowsDAII 
\end{center}
\caption{\label{minmodflowsDAII}The flows~\eqref{mmDAflowIII}
and~\eqref{mmDAflowIV} in the (D,A)-minimal model. Some of the branes
appear with multiplicity 2. Note that the
point-like branes sitting on the fixed-plane come in pairs of
fractional branes indicated by $+$ and $-$.}
\end{figure}
We have depicted the flows in fig.\ \ref{minmodflowsDAII}.

\item $L_{1}=[\frac{k}{2},+]$ \hspace*{1cm} (analogously for
$[\frac{k}{2},-]$)

Here we find the flows
\begin{equation}\label{mmDAflowV}
\hspace*{-2cm}[L_{1},L_{2},L']\  \longrightarrow \ \makebox[10cm][l]{$
\displaystyle \bigoplus_{J< \frac{k}{2}}\ 
N^{(k)}_{L'\,\frac{k}{2}}{}^{J}\ [J,L_{2},0]\ \oplus \
\left\{ 
\begin{array}{cl}
([ \frac{k}{2} , + ],L_{2},0) & L'=0 \mod 4 \\[1mm]
{( [ \frac{k}{2} , - ],L_{2},0)} & L'=2 \mod 4 \\[1mm] 
0 & L' \mbox{ odd}
\end{array} 
\right. 
$ }
\end{equation}
and
\begin{equation}\label{mmDAflowVI}
\hspace*{-2cm}[L_{1},L_{2},L']\  \longrightarrow \ \makebox[10cm][l]{$
\displaystyle \bigoplus_{J< \frac{k}{2}}\ 
N^{(k)}_{(L'-1)\,\frac{k}{2}}{}^{J}\ [J,L_{2},0]\ \oplus \
\left\{ 
\begin{array}{cl}
([ \frac{k}{2} , + ],L_{2},0) & L'=1 \mod 4 \\[1mm]
{ ([ \frac{k}{2} , - ],L_{2},0)} & L'=3 \mod 4 \\[1mm] 
0 & L' \mbox{ even}
\end{array} 
\right. 
$ }
\end{equation}
One example for the described flows with $L'=2$ can be found in
figure~\ref{minmodflowsDAIII}. 
\begin{figure}
\begin{center}
\minmodflowsDAIII 
\end{center}
\caption{\label{minmodflowsDAIII} The flows~\eqref{mmDAflowV}
and~\eqref{mmDAflowVI} for $L'=2$. In contrast to the flows in
figure~\ref{minmodflowsDAII} all branes only appear with multiplicity
1. Note that the sign of the fractional brane at the RG end-point
depends on the value of $L'$.}
\end{figure}
\"
2,"\begin{itemize}
\item $L'\not= \frac{k+1}{2}$

When we choose $\alpha = [L_{1},L_{2},0]$ and $S= (L',0)$
in~\eqref{bcflow}, we find
\begin{equation}\label{mmADflowI}
[L_{1},L_{2},L']\ \longrightarrow\ \makebox[6cm][l]{$
\displaystyle \bigoplus_{J}\ N^{k}_{L_{1}L'}{}^{J}\ [J,L_{2},0] \ \ .$}
\end{equation}
Similarly, for $\alpha = [k-L_{1},1-L_{2},0]$ and $S= (k+1-L',0)$ we
obtain
\begin{equation}\label{mmADflowII}
[L_{1},L_{2},L']\ \longrightarrow\ \makebox[6cm][l]{$
\displaystyle \bigoplus_{J}\ N^{k}_{L_{1} (L'-1)}{}^{J}\ [J,1-L_{2},0] \ \ .$}
\end{equation}
\begin{figure}
\begin{center}
{\minmodflowsADI}
\end{center}
\caption{\label{minmodflowsADI}The flows~\eqref{mmADflowI}
and~\eqref{mmADflowII} in the (A,D)-minimal model.}
\end{figure}
These flows are shown in fig.\ \ref{minmodflowsADI}. 

\item $L'=[\frac{k+1}{2},\pm ]$ 

By setting $\alpha = [L_{1},L_{2},0]$ and $S= (\frac{k+1}{2},0)$ we 
find a flow for a superposition of two boundary conditions,
\begin{equation}\label{mmADflowIII}
[L_{1},L_{2},[{\textstyle \frac{k+1}{2}},+]]\oplus
[L_{1},L_{2},[{\textstyle \frac{k+1}{2}},-]]\
\longrightarrow \ \bigoplus_{J}\ N^{(k)}_{L_{1}\frac{k+1}{2}}{}^{J}\ 
[J,L_{2},0]\ \ .
\end{equation}
An example for this flow is shown in fig.\ \ref{minmodflowsADII}.
\begin{figure}[!t]
\begin{center}
{\minmodflowsADII} 
\end{center}
\caption{\label{minmodflowsADII}The flow~\eqref{mmADflowIII} in the
(A,D)-minimal models starting from a superposition of two fractional
branes $+$ and $-$.}
\end{figure}
\"
3,"\begin{itemize}
\item {\bf Coset realization} $\displaystyle \frac{su (2)_{1}\oplus su
(2)_{2}}{su (2)_{3}}$: Perturbing field has $h=1/2$.\\ 
Flows resulting from~\eqref{bcflow} starting from
\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
0\ &\longrightarrow \ +\\
&\longrightarrow \ -
\end{align*}
\item a superposition of {\bf two} boundary conditions
\newlength{\tmpA}
\settowidth{\tmpA}{$0$}
\begin{align*}
\makebox[\tmpA][r]{$+\oplus -$}\ &\longrightarrow\ 0\\
&\longrightarrow\ +\\
&\longrightarrow\ -
\end{align*} 
\end{itemize}
\"
4,"\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
0\ &\longrightarrow \ +\\
&\longrightarrow \ -
\end{align*}
\item a superposition of {\bf two} boundary conditions
\newlength{\tmpA}
\settowidth{\tmpA}{$0$}
\begin{align*}
\makebox[\tmpA][r]{$+\oplus -$}\ &\longrightarrow\ 0\\
&\longrightarrow\ +\\
&\longrightarrow\ -
\end{align*} 
\"
5,"\begin{itemize}
\item {\bf Coset realization} $\displaystyle \frac{su (2)_{2}\oplus su
(2)_{1}}{su (2)_{3}}$: Perturbing field has $h=3/5$.\\
Flows resulting from~\eqref{bcflow}  starting from
\settowidth{\tmpA}{$2\cdot d \oplus 0$}
\newlength{\tmpB}\settowidth{\tmpB}{${0\! +}\oplus {-\! 0}$}
\newlength{\tmpC}\settowidth{\tmpC}{$2\cdot {-\! 0}\oplus +$}
\newlength{\tmpD}\settowidth{\tmpD}{${-\! 0}$}
\newlength{\tmpE}\settowidth{\tmpE}{$2\cdot {0\! +}\oplus -$}
\newlength{\tmpF}\settowidth{\tmpF}{${0\! +}$}
\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
\makebox[\tmpA][r]{$d$}\ &\longrightarrow \ \makebox[\tmpB][l]{$0$}         &
\makebox[\tmpC][r]{$0\! +$}\ &\longrightarrow \ \makebox[\tmpD][l]{$0$} &
\makebox[\tmpE][r]{$-\! 0$}\ &\longrightarrow \ \makebox[\tmpF][l]{$0$} \\
   &\longrightarrow \ +\oplus - &     &\longrightarrow \ + &     &\longrightarrow \ -
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$0\oplus d$}\ &\longrightarrow \ d           &
\makebox[\tmpC][r]{$-\oplus 0\! +$}\ &\longrightarrow \ -  &
\makebox[\tmpE][r]{$+\oplus -$}\ &
\longrightarrow \ +  \\
           &\longrightarrow \ 0           &             &\longrightarrow \ -\! 0 &            &
\longrightarrow \ 0\! + \\
           &\longrightarrow \ +\oplus -   &             &\longrightarrow \ d  &            &
\longrightarrow \ d  \\
           &\longrightarrow \ {0\! +}\oplus -\! 0 &             &\longrightarrow \ 0  &            &
\longrightarrow \ 0
\end{align*}
\item a superposition of {\bf three} boundary conditions
\begin{align*}
2\cdot d \oplus 0\ &\longrightarrow \ d           & 2\cdot -\! 0\oplus +\ &\longrightarrow \ d &
2\cdot {0\! +}\oplus -\ &\longrightarrow \ d \\
                   &\longrightarrow \ -\! 0\oplus 0\! + &
&\longrightarrow \ -\! 0&
                   &\longrightarrow \ 0\! +
\end{align*}
\end{itemize}
\item {\bf Coset realization} $\displaystyle \frac{(E_{7})_{1}\oplus
(E_{7})_{1}}{(E_{7})_{2}}$: Perturbing field has $h=1/10$.\\ 
Flows resulting from~\eqref{bcflow} starting from
\settowidth{\tmpA}{$+\oplus -\oplus 2\cdot {0\! +}\oplus 2\cdot {-\! 0}$}
\settowidth{\tmpB}{${0\! +}$}
\settowidth{\tmpC}{$2\cdot 0\oplus 2\cdot d$}
\settowidth{\tmpD}{${0\! +}$}
\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
d\ &\longrightarrow \ +\\
   &\longrightarrow \ -
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{${{0\! +}\oplus {-\! 0}}$}\ &\longrightarrow \
\makebox[\tmpB][l]{$0$} & \makebox[\tmpC][r]{$0\oplus d$}\ &\longrightarrow \ 0\! +  \\
             &         &            &\longrightarrow \ -\! 0  
\end{align*}
\item a superposition of {\bf four} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$+\oplus -\oplus {0\! +}\oplus {-\! 0}$}\ &\longrightarrow \
\makebox[\tmpB][l]{$d$} & 2\cdot 0\oplus 2\cdot d \
&\longrightarrow \ \makebox[\tmpD][l]{$0$} \\
                             &\longrightarrow \ + & & \\
                             &\longrightarrow \ - & &
\end{align*} 
\item a superposition of {\bf six} boundary conditions
\begin{align*}
+\oplus -\oplus 2\cdot {0\! +}\oplus 2\cdot {-\! 0}\ &\longrightarrow \ 0\! + & 2\cdot 0\oplus
4\cdot d\ &\longrightarrow \ \makebox[\tmpD][l]{$d$} \\
                                           &\longrightarrow \ -\! 0 & &
\end{align*}
\end{itemize}  
\"
6,"\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
\makebox[\tmpA][r]{$d$}\ &\longrightarrow \ \makebox[\tmpB][l]{$0$}         &
\makebox[\tmpC][r]{$0\! +$}\ &\longrightarrow \ \makebox[\tmpD][l]{$0$} &
\makebox[\tmpE][r]{$-\! 0$}\ &\longrightarrow \ \makebox[\tmpF][l]{$0$} \\
   &\longrightarrow \ +\oplus - &     &\longrightarrow \ + &     &\longrightarrow \ -
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$0\oplus d$}\ &\longrightarrow \ d           &
\makebox[\tmpC][r]{$-\oplus 0\! +$}\ &\longrightarrow \ -  &
\makebox[\tmpE][r]{$+\oplus -$}\ &
\longrightarrow \ +  \\
           &\longrightarrow \ 0           &             &\longrightarrow \ -\! 0 &            &
\longrightarrow \ 0\! + \\
           &\longrightarrow \ +\oplus -   &             &\longrightarrow \ d  &            &
\longrightarrow \ d  \\
           &\longrightarrow \ {0\! +}\oplus -\! 0 &             &\longrightarrow \ 0  &            &
\longrightarrow \ 0
\end{align*}
\item a superposition of {\bf three} boundary conditions
\begin{align*}
2\cdot d \oplus 0\ &\longrightarrow \ d           & 2\cdot -\! 0\oplus +\ &\longrightarrow \ d &
2\cdot {0\! +}\oplus -\ &\longrightarrow \ d \\
                   &\longrightarrow \ -\! 0\oplus 0\! + &
&\longrightarrow \ -\! 0&
                   &\longrightarrow \ 0\! +
\end{align*}
\"
7,"\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
d\ &\longrightarrow \ +\\
   &\longrightarrow \ -
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{${{0\! +}\oplus {-\! 0}}$}\ &\longrightarrow \
\makebox[\tmpB][l]{$0$} & \makebox[\tmpC][r]{$0\oplus d$}\ &\longrightarrow \ 0\! +  \\
             &         &            &\longrightarrow \ -\! 0  
\end{align*}
\item a superposition of {\bf four} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$+\oplus -\oplus {0\! +}\oplus {-\! 0}$}\ &\longrightarrow \
\makebox[\tmpB][l]{$d$} & 2\cdot 0\oplus 2\cdot d \
&\longrightarrow \ \makebox[\tmpD][l]{$0$} \\
                             &\longrightarrow \ + & & \\
                             &\longrightarrow \ - & &
\end{align*} 
\item a superposition of {\bf six} boundary conditions
\begin{align*}
+\oplus -\oplus 2\cdot {0\! +}\oplus 2\cdot {-\! 0}\ &\longrightarrow \ 0\! + & 2\cdot 0\oplus
4\cdot d\ &\longrightarrow \ \makebox[\tmpD][l]{$d$} \\
                                           &\longrightarrow \ -\! 0 & &
\end{align*}
\"
8,"\begin{itemize}
\item {\bf Coset realization} $\displaystyle \frac{su (2)_{1}\oplus su
(2)_{3}}{su(2)_{4}}$: Perturbing field has $h=2/3$.\\
Flows resulting from~\eqref{bcflow} starting from
\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
F\ &\longrightarrow \ BC & N\ &\longrightarrow \ BC        \\
   &\longrightarrow \ A  &    &\longrightarrow \ A\oplus BC 
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
2\cdot F\ &\longrightarrow \ N  & 2\cdot N\ &\longrightarrow \ F\oplus N  & A\oplus B\ &\longrightarrow
\ AB \\
          &\longrightarrow \ BC &           &\longrightarrow \ A\oplus BC & AB\oplus AC&\longrightarrow
\ A\oplus BC
\end{align*}
\item a superposition of {\bf three} boundary conditions
\begin{align*}
A\oplus B\oplus C\ &\longrightarrow \ N  & AB\oplus BC\oplus AC\ &\longrightarrow \ F\oplus
N  \\
                   &\longrightarrow \ F  &                       &\longrightarrow \ N
   \\
                   &\longrightarrow \ AB &                       &\longrightarrow \ A\oplus
BC \\
                   &\longrightarrow \ A  &                       &\longrightarrow \ AB
   \\[2mm]
3\cdot F\ &\longrightarrow \ N & 3\cdot N\ &\longrightarrow \ F\oplus N \\
          &\longrightarrow \ F &           &\longrightarrow \ N
\end{align*}
\item a superposition of {\bf six} boundary conditions
\begin{align*}
2\cdot A\oplus 2\cdot B\oplus 2\cdot C \ &\longrightarrow \ N\\
2\cdot AB\oplus 2\cdot BC\oplus 2\cdot AC \ &\longrightarrow \ F\oplus N\\
\end{align*}
\end{itemize}
\item {\bf Coset realization} $\displaystyle \frac{su (2)_{3}}{u
(1)}$: Perturbing field has $h=2/3$.\\ 
Flows resulting from~\eqref{bcflow} starting from
\settowidth{\tmpA}{$2\cdot AB \oplus BC \oplus AC$}
\settowidth{\tmpB}{$A\oplus BC$}
\settowidth{\tmpD}{$F\oplus N$}
\begin{itemize}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$A\oplus B$}\   &\longrightarrow \ AB         & 2\cdot F\ &\longrightarrow \ N \\
AB\oplus AC\ &\longrightarrow \ A\oplus BC & 2\cdot N\ &\longrightarrow \ F\oplus N
\end{align*} 
\item a superposition of {\bf three} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$A\oplus B\oplus C$}\    &\longrightarrow \ AB         & 3\cdot F\ &\longrightarrow \ N \\
AB\oplus BC\oplus AC\ &\longrightarrow \ A\oplus BC & 3\cdot N\ &\longrightarrow \ F\oplus N
\end{align*}
\item a superposition of {\bf four} boundary conditions
\begin{align*}
2\cdot A\oplus B\oplus C\       &\longrightarrow \ \makebox[\tmpB][l]{$A$}  &
4\cdot F\ &\longrightarrow \ \makebox[\tmpD][l]{$F$}\\
2\cdot AB \oplus BC \oplus AC \ &\longrightarrow \ AB & 4\cdot N\ &\longrightarrow \ N
\end{align*}
\end{itemize}
\item {\bf Coset realization} $\displaystyle \frac{su (3)_{1}\oplus su
(3)_{1}}{su (3)_{2}}$: Perturbing field has $h=2/5$.\\ 
Flows resulting from~\eqref{bcflow} staring from
\settowidth{\tmpA}{$A\oplus 2\cdot BC$}
\settowidth{\tmpB}{$AC$}
\settowidth{\tmpC}{$F\oplus 2\cdot N$}
\settowidth{\tmpD}{$N$}
\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
\makebox[\tmpA][r]{$AB$}\ &\longrightarrow \ \makebox[\tmpB][l]{$A$} &
\makebox[\tmpC][r]{$N$}\ &\longrightarrow \ \makebox[\tmpD][l]{$F$} \\
    &\longrightarrow \ B &    &
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
\makebox[\tmpA][r]{$A\oplus BC$}\ &\longrightarrow \ AB &
\makebox[\tmpC][r]{$F\oplus N$}\ &\longrightarrow \ N \\
            &\longrightarrow \ AC &            &\longrightarrow \ F \\
            &\longrightarrow \ A  &            &         \\
            &\longrightarrow \ B  &            &         \\
            &\longrightarrow \ C  &            &
\end{align*}
\item a superposition of {\bf three} boundary conditions
\begin{align*}
A\oplus 2\cdot BC\ &\longrightarrow \ BC & F\oplus 2\cdot N\ &\longrightarrow \ N \\
                   &\longrightarrow \ AB & & \\
                   &\longrightarrow \ AC & &
\end{align*}
\end{itemize}
\"
9,"\begin{itemize}
\item a {\bf single} boundary condition
\begin{align*}
F\ &\longrightarrow \ BC & N\ &\longrightarrow \ BC        \\
   &\longrightarrow \ A  &    &\longrightarrow \ A\oplus BC 
\end{align*}
\item a superposition of {\bf two} boundary conditions
\begin{align*}
2\cdot F\ &\longrightarrow \ N  & 2\cdot N\ &\longrightarrow \ F\oplus N  & A\oplus B\ &\longrightarrow
\ AB \\
          &\longrightarrow \ BC &           &\longrightarrow \ A\oplus BC & AB\oplus AC&\longrightarrow
\ A\oplus BC
\end{align*}
\item a superposition of {\bf three} boundary conditions
\begin{align*}
A\oplus B\oplus C\ &\longrightarrow \ N  & AB\oplus BC\oplus AC\ &\longrightarrow \ F\oplus
N  \\
                   &\longrightarrow \ F  &                       &\longrightarrow \ N
   \\
                   &\longrightarrow \ AB &                       &\longrightarrow \ A\oplus
BC \\
                   &\longrightarrow \ A  &                       &\longrightarrow \ AB
   \\[2mm]
3\cdot F\ &\longrightarrow \ N & 3\cdot N\ &\longrightarrow \ F\oplus N \\
          &\longrightarrow \ F &           &\longrightarrow \ N
\end{align*}
\item a superposition of {\bf six} boundary conditions
\begin{align*}
2\cdot A\oplus 2\cdot B\oplus 2\cdot C \ &\longrightarrow \ N\\
2\cdot AB\oplus 2\cdot BC\oplus 2\cdot AC \ &\longrightarrow \ F\oplus N\\
\end{align*}
\"
