,equation
0,"\begin{equation}
 [x^{\mu },x^{\nu }] = i\theta ^{\mu \nu }(x),
\"
1,"\begin{equation}
\partial_\mu \rightarrow D_\mu= \partial_\mu + i e A_\mu ~.
\"
2,"\begin{equation}
\varphi(x) \rightarrow e^{-i e\alpha(x)}\varphi(x) ~.
\"
3,"\begin{equation}\label{2.1}
{\cal L}_\theta = - \frac{1}{12}  H_{\lambda \mu \nu }H ^{\lambda
\mu \nu} ~,
\"
4,"\begin{equation}\label{2.2}
H_{\lambda \mu \nu } \equiv \partial _{\lambda }\theta _{\mu \nu
}+\partial _{\mu }\theta _{\nu \lambda }+\partial_{\nu }\theta
_{\lambda \mu} ~.
\"
5,"\begin{equation}\label{2.3}
  \partial_\mu{H}^{\mu \nu \sigma }=0 ~.
\"
6,"\begin{equation}\label{2.4}
  \theta_{\mu\nu}\rightarrow \theta_{\mu\nu}^\prime = \theta_{\mu\nu} + \partial_\mu
\Lambda_\nu -\partial_\nu\Lambda_\mu ~,
\"
7,"\begin{equation}\label{2.5}
\Box \theta_{\mu \nu} = 0 ~.
\"
8,"\begin{equation}\label{2.6}
\theta_\mu \equiv \frac{1}{6} \epsilon_{\mu \nu \rho \sigma}
H^{\nu \rho \sigma} = \frac{1}{2} \epsilon_{\mu \nu \rho \sigma}
\partial^\nu \theta^{\rho \sigma} ~,
\"
9,"\begin{equation}\label{2.6b}
\partial^\mu \theta_\mu  = 0 ~.
\"
10,"\begin{equation}\label{2.7}
\partial_\mu \theta_\nu - \partial_\nu \theta_\mu =0 ~,
\"
11,"\begin{equation}\label{2.8}
 \theta_\mu = \partial_\mu \theta ~.
\"
12,"\begin{equation}\label{2.9}
{\cal L}_\theta = \frac{1}{2} \partial_\mu \theta
\partial^\mu \theta  ~,
\"
13,"\begin{equation}\label{3.1}
{\cal L}_{\phi} = \left( \partial_\mu \phi \right)^\dagger \left(
\partial^\mu \phi \right) + V(\phi),
\"
14,"\begin{equation}
iD_\mu = i\partial_\mu + kX_\mu , \label{3.2}
\"
15,"\begin{equation}
{\cal L}_{int}= (D^\mu\phi)^\dagger(D_\mu\phi) + V(\phi).
\label{3.3}
\"
16,"\begin{equation}
  X_\mu = \partial_\mu \alpha ~,
  \label{3.3b}
\"
17,"\begin{equation}
  \phi\rightarrow\Phi=\phi e^{ik\alpha} ~.
  \label{3.3c}
\"
18,"\begin{equation}
{\cal L}_{int}= (D^\mu\phi)^\dagger(D_\mu\phi) + V(\phi)
=(\partial^\mu\Phi)^\dagger\partial_\mu\Phi) + V(\phi),
\label{3.3d}
\"
19,"\begin{equation}\label{3.4}
  X_\mu = \partial^\nu \theta_{\mu \nu} ~.
\"
20,"\begin{equation}
  \phi\rightarrow\phi '=\phi e^{ik\eta} ~,
  \label{3.5}
\"
