filepath,filepath_id,token_id,parent_id,offset,length,type,token
./sound1.tex,1392049518,2263091519,1392049518,54,2,integer,10
./sound1.tex,1392049518,304903625,1392049518,59,9,braces,{revtex4}
./sound1.tex,1392049518,3778137224,304903625,7,1,integer,4
./sound1.tex,1392049518,2484513939,1392049518,80,1,integer,1
./sound1.tex,1392049518,2517446181,1392049518,93,10,braces,{graphicx}
./sound1.tex,1392049518,1546783027,1392049518,115,9,braces,{amsmath}
./sound1.tex,1392049518,1273699344,1392049518,136,9,braces,{gensymb}
./sound1.tex,1392049518,2922588015,1392049518,157,7,braces,{float}
./sound1.tex,1392049518,3115325633,1392049518,176,9,braces,{physics}
./sound1.tex,1392049518,666702601,1392049518,197,8,braces,{xcolor}
./sound1.tex,1392049518,1190558580,1392049518,218,14,braces,{unicode-math}
./sound1.tex,1392049518,3705518171,1392049518,252,3,braces,{o}
./sound1.tex,1392049518,1217089479,1392049518,263,10,braces,{document}
./sound1.tex,1392049518,1829621718,1392049518,296,52,braces,{Speed of sound from fundamental physical constants}
./sound1.tex,1392049518,3760190811,1392049518,356,14,braces,{K. Trachenko}
./sound1.tex,1392049518,4184960855,1392049518,383,101,braces,"{School of Physics and Astronomy, Queen Mary University of London, Mile End Road, London, E1 4NS, UK}"
./sound1.tex,1392049518,2484513939,4184960855,91,1,integer,1
./sound1.tex,1392049518,3778137224,4184960855,93,1,integer,4
./sound1.tex,1392049518,3102348915,1392049518,492,14,braces,{B. Monserrat}
./sound1.tex,1392049518,78770564,1392049518,520,133,braces,"{Department of Materials Science and Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, United Kingdom}"
./sound1.tex,1392049518,2913146506,78770564,74,2,integer,27
./sound1.tex,1392049518,264741300,78770564,111,1,integer,3
./sound1.tex,1392049518,3530670207,78770564,113,1,integer,0
./sound1.tex,1392049518,101814446,1392049518,668,104,braces,"{Cavendish Laboratory, University of Cambridge, J. J. Thomson Avenue, Cambridge CB3 0HE, United Kingdom}"
./sound1.tex,1392049518,264741300,101814446,82,1,integer,3
./sound1.tex,1392049518,3530670207,101814446,84,1,integer,0
./sound1.tex,1392049518,3738933030,1392049518,780,15,braces,{C. J. Pickard}
./sound1.tex,1392049518,78770564,1392049518,809,133,braces,"{Department of Materials Science and Metallurgy, University of Cambridge, 27 Charles Babbage Road, Cambridge CB3 0FS, United Kingdom}"
./sound1.tex,1392049518,2913146506,78770564,74,2,integer,27
./sound1.tex,1392049518,264741300,78770564,111,1,integer,3
./sound1.tex,1392049518,3530670207,78770564,113,1,integer,0
./sound1.tex,1392049518,3952691740,1392049518,956,77,braces,"{Advanced Institute for Materials Research, Tohoku University, Sendai, Japan}"
./sound1.tex,1392049518,3983856331,1392049518,1041,16,braces,{V. V. Brazhkin}
./sound1.tex,1392049518,2007454848,1392049518,1070,75,braces,"{Institute for High Pressure Physics, RAS, 108840, Troitsk, Moscow, Russia}"
./sound1.tex,1392049518,3086954500,2007454848,43,6,integer,108840
./sound1.tex,1392049518,1918437342,1392049518,1153,10,braces,{abstract}
./sound1.tex,1392049518,2122471043,1392049518,1242,8,inline_math,$\alpha$
./sound1.tex,1392049518,3184337359,1392049518,1289,17,inline_math,$\frac{m_p}{m_e}$
./sound1.tex,1392049518,3838154665,3184337359,1,15,frac,\frac{m_p}{m_e}
./sound1.tex,1392049518,1129868211,3838154665,5,5,braces,{m_p}
./sound1.tex,1392049518,1265915440,3838154665,10,5,braces,{m_e}
./sound1.tex,1392049518,3730642209,1392049518,1632,5,inline_math,$v_u$
./sound1.tex,1392049518,4022052096,1392049518,1652,65,inline_math,$\frac{v_u}{c}=\alpha\left(\frac{m_e}{2m_p}\right)^{\frac{1}{2}}$
./sound1.tex,1392049518,3516303764,4022052096,1,13,frac,\frac{v_u}{c}
./sound1.tex,1392049518,3371831620,3516303764,5,5,braces,{v_u}
./sound1.tex,1392049518,4164547804,3516303764,10,3,braces,{c}
./sound1.tex,1392049518,4102660605,4022052096,26,24,parens,(\frac{m_e}{2m_p}\right)
./sound1.tex,1392049518,3169210639,4102660605,1,16,frac,\frac{m_e}{2m_p}
./sound1.tex,1392049518,1265915440,3169210639,5,5,braces,{m_e}
./sound1.tex,1392049518,2011199743,3169210639,10,6,braces,{2m_p}
./sound1.tex,1392049518,19522071,2011199743,1,1,integer,2
./sound1.tex,1392049518,3179439190,4022052096,51,13,braces,{\frac{1}{2}}
./sound1.tex,1392049518,1735385791,3179439190,1,11,frac,\frac{1}{2}
./sound1.tex,1392049518,179005128,1735385791,5,3,braces,{1}
./sound1.tex,1392049518,2484513939,179005128,1,1,integer,1
./sound1.tex,1392049518,627363447,1735385791,8,3,braces,{2}
./sound1.tex,1392049518,19522071,627363447,1,1,integer,2
./sound1.tex,1392049518,514015864,1392049518,1725,3,inline_math,$c$
./sound1.tex,1392049518,1918437342,1392049518,2006,10,braces,{abstract}
./sound1.tex,1392049518,4248078621,1392049518,2038,14,braces,{Introduction}
./sound1.tex,1392049518,76726987,1392049518,2280,5,inline_math,$m_e$
./sound1.tex,1392049518,816449627,1392049518,2294,3,inline_math,$e$
./sound1.tex,1392049518,340463602,1392049518,2319,7,inline_math,$\hbar$
./sound1.tex,1392049518,429917333,1392049518,2483,15,cite,\cite{ashcroft}
./sound1.tex,1392049518,1573268529,1392049518,2549,19,braces,{\it dimensionless}
./sound1.tex,1392049518,2581068005,1392049518,2642,13,cite,\cite{barrow}
./sound1.tex,1392049518,2122471043,1392049518,2727,8,inline_math,$\alpha$
./sound1.tex,1392049518,3184337359,1392049518,2775,17,inline_math,$\frac{m_p}{m_e}$
./sound1.tex,1392049518,3838154665,3184337359,1,15,frac,\frac{m_p}{m_e}
./sound1.tex,1392049518,1129868211,3838154665,5,5,braces,{m_p}
./sound1.tex,1392049518,1265915440,3838154665,10,5,braces,{m_e}
./sound1.tex,1392049518,2122471043,1392049518,2821,8,inline_math,$\alpha$
./sound1.tex,1392049518,3184337359,1392049518,2834,17,inline_math,$\frac{m_p}{m_e}$
./sound1.tex,1392049518,3838154665,3184337359,1,15,frac,\frac{m_p}{m_e}
./sound1.tex,1392049518,1129868211,3838154665,5,5,braces,{m_p}
./sound1.tex,1392049518,1265915440,3838154665,10,5,braces,{m_e}
./sound1.tex,1392049518,3814575437,1392049518,3100,28,parens,"($\alpha$,$\frac{m_p}{m_e}$)"
./sound1.tex,1392049518,2122471043,3814575437,1,8,inline_math,$\alpha$
./sound1.tex,1392049518,3184337359,3814575437,10,17,inline_math,$\frac{m_p}{m_e}$
